idiomatic_meaning,literal_meaning,idiomatic_sentence,literal_sentence
"Acid test is a metaphor for a crucial or decisive test or trial that proves the validity of something.","Acid test is a literal term for a test using acid to test a substance's properties.","The acid test for the new product will come when it hits the market next year.","The scientist conducted an acid test to determine the purity of the metal."
"Cutting edge is a metaphor for the most advanced or innovative point of development or technology.","Cutting edge is a literal term for the sharp edge of a blade.","Their research is on the cutting edge of quantum computing.","The cutting edge of technology was displayed at the annual tech conference."
"Second nature is a metaphor for something that has become so habitual or automatic that it feels instinctive.","Second nature is a literal term for a natural instinct or reflex.","After years of practice, playing the piano became second nature to her.","For the athlete, the movements of the sport had become second nature."
"Dutch courage is a metaphor for temporary bravery gained through the consumption of alcohol.","Dutch courage is a literal term for the supposed effect of alcohol in making someone brave.","He got some Dutch courage before asking for a promotion by having a drink first.","The soldier felt a sense of Dutch courage after drinking the rum offered by his comrades."
"Sour grapes is a metaphor for pretending to not care about something that you cannot have or achieve.","Sour grapes is a literal term for grapes that are unripe or bitter in taste.","He claimed he didn’t want the promotion, but I think it was just sour grapes.","She ate the sour grapes straight from the vine, unable to find any sweet ones."
"One-horse race is a metaphor for a situation where there is only one clear contender or option, with no competition.","One-horse race is a literal term for a horse race with only one participant.","The election turned out to be a one-horse race, with only one candidate running.","The horse galloped around the track in the one-horse race with no competitors in sight."
"Can of worms is a metaphor for a complex or problematic situation that could become more complicated when explored.","Can of worms is a literal term for a container filled with worms, often used as bait.","Opening that old file is like opening a can of worms; we might uncover more than we want to know.","The fisherman opened the can of worms to use them as bait on the lake."
"Storm in a teacup is a metaphor for a small issue that has been exaggerated or blown out of proportion.","Storm in a teacup is a literal term for an actual storm occurring inside a teacup, which is impossible.","They made a storm in a teacup out of a minor misunderstanding at work.","The storm in a teacup was over in minutes when the misunderstanding was cleared up."
"Trojan horse is a metaphor for a deceptive trick or hidden threat, often used in the context of computers or strategy.","Trojan horse is a literal term for a large wooden horse used by the Greeks to infiltrate Troy, according to myth.","The email contained a Trojan horse, which was actually a virus in disguise.","The soldiers hid inside the Trojan horse, waiting for nightfall to invade the city."
"Busman's holiday is a metaphor for taking a break or vacation, but still doing something related to one's work or occupation.","Busman's holiday is a literal term for a bus driver taking time off but still riding a bus or driving one.","He took a busman’s holiday, going to a theme park but still spending time working on the project.","The busman’s holiday consisted of a trip to the museum, which he visited frequently for work."
"Brain drain is a metaphor for the loss of skilled workers or intellectual capital from a particular area or country.","Brain drain is a literal term for the physical draining of the brain, though nonsensical in this context.","The country suffered from a brain drain as many doctors moved abroad for better opportunities.","The researcher noticed the brain drain in the laboratory as top talent left for bigger institutions."
"Fish story is a metaphor for a tall tale or exaggerated story, often involving a fishing expedition.","Fish story is a literal term for a story about catching fish, often exaggerated.","His fish story about catching a 30-pound bass was met with skepticism.","The fisherman spun a fish story about a whale he supposedly encountered at sea."
"Silver lining is a metaphor for a hopeful or positive aspect of an otherwise difficult or negative situation.","Silver lining is a literal term for the bright edge or border of a cloud, visible when sunlight hits it.","Even after the failure, she found a silver lining in the lessons learned.","The silver lining of the stormy weather was the beautiful sunset that followed."
"Glass ceiling is a metaphor for an invisible barrier that limits the advancement of certain individuals, especially women, in their careers.","Glass ceiling is a literal term for a transparent ceiling made of glass.","She broke through the glass ceiling to become the first female CEO of the company.","The office building featured a glass ceiling, offering a view of the sky above."
"Snake oil is a metaphor for a deceptive or fraudulent product or service, often marketed as a cure-all.","Snake oil is a literal term for a product sold in the 19th century, claimed to have medicinal properties but was ineffective.","He sold snake oil to the crowd, promising it would cure all their ailments.","The salesman claimed his snake oil could cure any illness, but it was just a scam."
